"master_id","master_name","henkou_kahi_flg","touroku_user_id","touroku_time","koushin_user_id","koushin_time"
"uf_kotei7_ichiran","ユニバーサルフィールド７一覧（固定）","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf_kotei7_zandaka","ユニバーサルフィールド７残高（固定）","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf_kotei8_ichiran","ユニバーサルフィールド８一覧（固定）","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf_kotei8_zandaka","ユニバーサルフィールド８残高（固定）","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf_kotei9_ichiran","ユニバーサルフィールド９一覧（固定）","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf_kotei9_zandaka","ユニバーサルフィールド９残高（固定）","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf_kotei10_ichiran","ユニバーサルフィールド１０一覧（固定）","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf_kotei10_zandaka","ユニバーサルフィールド１０残高（固定）","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"extension_setting","拡張子設定","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ebunsho_kensaku","e文書検索設定","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hizuke_control","日付コントロール","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"shouhizeiritsu","消費税率","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"kinyuukikan","金融機関","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"moto_kouza","振込元口座","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"shain","社員","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"shain_kouza","社員口座","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"nittou_nado_master","国内用日当等マスター","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"kani_todoke_select_item","届出ジェネレータ選択項目","2","default",1999/01/01,"default",1999/01/01
"project_master","プロジェクトマスター","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"koutsuu_shudan_master","国内用交通手段マスター","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"furikomi_bi_rule_hi","振込日ルール(日付)","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"furikomi_bi_rule_youbi","振込日ルール(曜日)","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ki_kesn","（期別）決算期","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ki_kamoku","（期別）科目","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ki_bumon","（期別）部門","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ki_syuukei_bumon","（期別）集計部門","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ki_kamoku_security","（期別）科目セキュリティ","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ki_kamoku_edaban","（期別）科目枝番","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ki_bumon_security","（期別）部門セキュリティ","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"kaigai_nittou_nado_master","海外用日当等マスター","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"kaigai_koutsuu_shudan_master","海外用交通手段マスター","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"heishu_master","幣種マスター","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"rate_master","幣種別レートマスター","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"kian_bangou_bo","起案番号簿","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"bumon_kamoku_yosan","部門科目予算","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"bumon_kamoku_edaban_zandaka","部門科目枝番残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"bumon_kamoku_edaban_yosan","部門科目枝番予算","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"syuukei_bumon","集計部門マスター","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"ki_busho_shiwake","（期別）部署入出力仕訳","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"shukujitsu_master","祝日マスター","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"open21_kinyuukikan","金融機関","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"torihikisaki_furikomisaki","取引先振込先","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"torihikisaki_hojo","取引先補助","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"torihikisaki_shiharaihouhou","取引先支払方法","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"moto_kouza_shiharaiirai","振込元口座（支払依頼）","2","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
