"gamen_id","gamen_name","bumon_shozoku_riyoukanou_flg","system_kanri_riyoukanou_flg","workflow_riyoukanou_flg","kaishasettei_riyoukanou_flg","keirishori_riyoukanou_flg","kinou_seigyo_cd"
"KianbangouBoIchiran","起案番号簿一覧","0","1","0","1","0",""
"KianBangouBoSaiban","起案番号採番","1","0","0","0","1",""
"KianBangouShousaiKakunin","起案番号詳細確認","1","1","1","1","1",""
"KianTsuika","起案追加","1","0","0","0","1",""
"KianBangouSentaku","起案番号選択","1","1","1","1","1",""
"TeikiJouhouIchiran","定期情報一覧","0","1","0","1","0",""
"TeikiJouhouTsuika","定期情報追加","0","1","0","1","0",""
"TeikiJouhouHenkou","定期情報変更","0","1","0","1","0",""
"SmartSeisan","ICカード連携用ファイルダウンロード","0","1","0","1","0","IC"
"IcCardRirekiSentaku","ICカード履歴選択","1","1","1","1","1","IC"
"HoujinCardCSVUpload","法人カードデータインポート","0","1","0","0","1",""
"HoujinCardCSVUploadKakunin","法人カードデータインポート確認","0","1","0","0","1",""
"HoujinCardSeisanHimoduke","法人カード精算紐付","1","1","0","0","1",""
"HoujinCardSiyouIchiran","法人カード使用一覧","1","1","1","1","1",""
"ErrorLogHyoujiKogamen","エラーログ表示小画面","0","1","0","1","1","BR"
"ShiharaiIraishoShutsuryoku","支払依頼出力","1","1","0","0","1",""
"ShiharaiYoteiSoukatsuhyoOutput","支払予定総括表","0","1","0","0","1",""
"ShiharaiIraiOutput","支払依頼データ作成","0","1","0","0","1",""
"ShiharaiIraiCSVUpload","支払依頼申請一括登録","1","0","0","0","0",""
"ShiharaiIraiCSVUploadKakunin","支払依頼申請一括登録確認","1","0","0","0","0",""
"ShouhizeiShousai","消費税詳細","1","1","1","1","1",""
"InvoiceSeidoKaishiSettei","インボイス制度開始設定","0","1","0","1","0",""
"ShouhizeiKbnSentaku","消費税区分選択","1","1","1","1","1",""
